5975 [[54.8143, 9431.500000275017], [54.7016, 9433.303859775895], [54.5808, 9435.262771732516], [54.4517, 9437.384615613573], [54.3139, 9439.681369753707], [54.1645, 9442.212252814315], [54.0002, 9445.043385357234], [53.8192, 9448.222649682693], [53.627, 9451.669405546205], [53.4109, 9455.633174107421], [53.175, 9460.070029710772], [52.9203, 9464.996464466729], [52.6308, 9470.770674861396], [52.2947, 9477.715657214336], [51.9252, 9485.666935110252], [51.4978, 9495.292758026313], [50.6071, 9505.877488097756], [49.2274, 9519.045442657449], [47.6226, 9534.262229573844], [45.4513, 9554.211400020238], [42.6513, 9578.605255005887], [38.41, 9608.053947416603], [32.4943, 9642.740464061773], [24.2333, 9683.306645256658], [13.1737, 10159.727273731798]]
3000 [[54.8143, 9431.500178323871], [54.7012, 9433.311256070769], [54.5803, 9435.270843200728], [54.451, 9437.39542233311], [54.3104, 9439.741369604519], [54.1616, 9442.26252138784], [53.9945, 9445.143911752377], [53.821, 9448.191385685359], [53.6209, 9451.778864948375], [53.4068, 9455.709251695365], [53.1714, 9460.138516528767], [52.9085, 9465.227853545437], [52.6201, 9470.986562255119], [52.2901, 9477.812142951923], [51.9136, 9485.920911339035], [51.5233, 9494.706213014306], [50.6247, 9506.478769871284], [49.2502, 9518.99642944749], [47.5394, 9534.999517380164], [45.4451, 9554.559396790339], [42.4981, 9578.83897734233], [38.3724, 9608.789780258932], [32.254, 9643.67334772684], [23.7731, 9686.16655148467], [13.5988, 10007.022159033193]]
3725 [[54.8141, 9431.502628769615], [54.7035, 9433.273404989866], [54.5809, 9435.26118727729], [54.4523, 9437.375085251084], [54.3118, 9439.717738203493], [54.1591, 9442.304701076837], [53.9938, 9445.155777371518], [53.8159, 9448.281973618365], [53.6282, 9451.647921496755], [53.405, 9455.743325660942], [53.1683, 9460.198724440048], [52.9064, 9465.268966956593], [52.6136, 9471.119392702956], [52.2844, 9477.93295104241], [51.9232, 9485.709390404543], [51.4862, 9495.561833796553], [50.5829, 9506.33559120047], [49.289, 9518.903000071045], [47.5307, 9535.142074522864], [45.3855, 9554.703874070527], [42.5718, 9578.545722843204], [38.3736, 9608.845378410922], [32.3042, 9644.81463897314], [23.8978, 9687.128294214883], [13.1481, 10178.053963314795]]
3075 [[54.8143, 9431.500000105509], [54.7147, 9433.093261626585], [54.5817, 9435.24709972618], [54.4521, 9437.377216549603], [54.3118, 9439.716632987293], [54.163, 9442.238341898092], [54.0032, 9444.992244632267], [53.8223, 9448.167730329027], [53.6297, 9451.620193120347], [53.4136, 9455.58221510221], [53.1755, 9460.060709759608], [52.9162, 9465.076328601117], [52.6229, 9470.93035125121], [52.3056, 9477.48706507404], [51.9296, 9485.56864052984], [51.5025, 9495.183924183746], [50.5878, 9506.046430748047], [49.3297, 9518.169531798132], [47.566, 9534.759278886271], [45.5108, 9553.556403313949], [42.5978, 9578.415746429262], [38.4017, 9608.1135736016], [32.402, 9643.449020260576], [24.1929, 9683.959447634727], [13.1557, 10194.13808892421]]
3225 [[54.8143, 9431.50008417705], [54.7031, 9433.279325426749], [54.5816, 9435.249604006834], [54.463, 9437.197717811272], [54.3144, 9439.675276075273], [54.1704, 9442.11199965436], [54.0007, 9445.036221834192], [53.8211, 9448.188334399832], [53.6263, 9451.681213705013], [53.4146, 9455.563632788708], [53.1815, 9459.946951518159], [52.919, 9465.020854318622], [52.6276, 9470.835942404803], [52.3104, 9477.38488405691], [51.9546, 9485.021800143822], [51.5269, 9494.622540584087], [50.6344, 9505.988710278398], [49.2603, 9518.953231159041], [47.6209, 9534.271558105243], [45.4955, 9553.709757059793], [42.5799, 9578.173017486906], [38.5399, 9607.939067588068], [32.3732, 9643.125926400147], [23.2845, 9688.546461011065], [13.2175, 10238.858397215725]]
4675 [[54.8143, 9431.50009201112], [54.7026, 9433.287026442309], [54.5811, 9435.257538653303], [54.454, 9437.346108838196], [54.3129, 9439.69870543153], [54.1611, 9442.27044590604], [53.997, 9445.09955796193], [53.8211, 9448.189635619858], [53.6237, 9451.729717343484], [53.411, 9455.63122351583], [53.1844, 9459.89115340436], [52.9133, 9465.134528591103], [52.6218, 9470.952545755305], [52.2952, 9477.706049084158], [51.9218, 9485.741180994202], [51.5045, 9495.138511847612], [50.6495, 9506.196040236855], [49.3177, 9519.085603795447], [47.571, 9534.751834542623], [45.5156, 9553.997950082115], [42.5729, 9578.426397894127], [38.4002, 9608.12379217819], [32.3283, 9643.327168101558], [24.0492, 9684.249317086304], [13.164, 10137.975835589783]]
2325 [[54.8143, 9431.500001068132], [54.7019, 9433.29978239994], [54.5831, 9435.225117946533], [54.4515, 9437.386926833571], [54.3152, 9439.659455058094], [54.1626, 9442.2452250385], [54.0, 9445.04736035419], [53.8215, 9448.181318103567], [53.6261, 9451.685678794374], [53.4163, 9455.533109286325], [53.1767, 9460.03766162571], [52.9166, 9465.068208183977], [52.6265, 9470.85785583166], [52.2972, 9477.663990063576], [51.939, 9485.363249005768], [51.5155, 9494.884978018425], [50.6464, 9505.563158847517], [49.232, 9519.014092268599], [47.5979, 9534.475247219123], [45.4522, 9554.144024657333], [42.6823, 9578.491602116812], [38.7008, 9607.747582805945], [32.4057, 9642.953691584318], [24.3895, 9692.456390856067], [13.3995, 10045.55802679241]]
5300 [[54.8143, 9431.500005013317], [54.7038, 9433.268666808632], [54.5811, 9435.25758874837], [54.4513, 9437.39096704289], [54.3126, 9439.704410428332], [54.1608, 9442.276674367591], [53.999, 9445.064802350704], [53.82, 9448.208862557916], [53.625, 9451.704710231688], [53.4133, 9455.588438608032], [53.1762, 9460.048132502738], [52.9152, 9465.09621289876], [52.6276, 9470.834715498846], [52.2997, 9477.61000276938], [51.9247, 9485.677483447575], [51.5006, 9495.228765109636], [50.576, 9506.157611267596], [49.239, 9518.990169629968], [47.6151, 9534.290508941545], [45.481, 9553.801946941181], [42.7399, 9576.924960692038], [38.4524, 9607.771033492254], [32.4177, 9642.898127472146], [23.8382, 9685.413108492474], [13.3629, 10285.585356582995]]
9025 [[54.8143, 9431.500000000351], [54.7026, 9433.287592322087], [54.5805, 9435.266629329168], [54.451, 9437.396365659435], [54.3125, 9439.704874547553], [54.1604, 9442.283341957047], [53.9983, 9445.076602225496], [53.8168, 9448.265537331537], [53.6297, 9451.619296055524], [53.4106, 9455.638092105728], [53.1791, 9459.993238937903], [52.9113, 9465.173214746002], [52.619, 9471.008373078623], [52.2898, 9477.819639528183], [51.9192, 9485.79895966352], [51.4945, 9495.369464964324], [50.6177, 9506.300239297077], [49.2255, 9519.23154557537], [47.5935, 9534.639809361057], [45.4127, 9554.406630297042], [42.506, 9578.921978378721], [38.3663, 9608.53115630478], [32.4119, 9643.446294035697], [23.9834, 9684.600780727456], [13.0056, 10815.371728361572]]
3075 [[54.814, 9431.503884500144], [54.7095, 9433.177201752595], [54.5819, 9435.245639995323], [54.4516, 9437.387076148663], [54.3149, 9439.66549524485], [54.161, 9442.272215551448], [53.9956, 9445.124785003783], [53.823, 9448.156854330595], [53.6201, 9451.793918342064], [53.4099, 9455.652419042186], [53.1696, 9460.173576596066], [52.9086, 9465.22598257336], [52.6392, 9470.599468158543], [52.3018, 9477.567551986358], [51.9309, 9485.54203461367], [51.5056, 9495.11343826202], [50.5885, 9506.335888224196], [49.201, 9519.341886609203], [47.551, 9534.939038887194], [45.4288, 9554.554743147923], [42.4896, 9578.882588980206], [38.3487, 9608.752452528945], [32.2522, 9643.682411214399], [23.9783, 9684.689723087893], [13.1521, 10154.035008623388]]
