7725 [[442.837, 9281.506058303099], [367.905, 9296.299353141414], [328.314, 9308.57821748633], [299.278, 9320.35439081695], [278.695, 9331.673186184302], [261.833, 9343.189838690854], [248.042, 9355.080719153528], [236.389, 9367.407812303521], [225.82, 9380.581241111802], [217.024, 9395.255112918952], [208.114, 9410.622509288087], [200.182, 9427.727428364426], [192.587, 9446.764723444845], [185.453, 9468.435378395878], [178.785, 9493.586701274984], [172.869, 9522.908105545946], [166.202, 9558.750783040938], [159.979, 9603.836377139263], [143.176, 9629.388566315796], [127.619, 9665.36426217903], [112.125, 9705.921926674644], [98.9683, 9777.47154062021], [73.1631, 9848.281113155406], [57.7208, 9973.982613184087], [30.6596, 10192.599091393196]]
5125 [[442.847, 9281.500152472081], [367.387, 9296.413631817117], [325.873, 9309.170033992643], [298.002, 9320.978849455261], [277.052, 9332.633963977894], [260.267, 9344.414774874002], [246.571, 9356.511197901613], [234.673, 9369.263425529964], [224.106, 9382.963759159484], [214.978, 9397.558059288278], [206.579, 9413.885753349856], [198.56, 9431.397027755333], [191.013, 9451.391609739347], [183.895, 9473.790855982563], [177.179, 9499.853676444845], [171.171, 9531.023568347988], [164.508, 9568.058203044799], [158.795, 9613.985701597092], [135.877, 9643.18809659212], [125.552, 9665.622844723232], [109.977, 9715.446753696659], [95.2737, 9805.896594799593], [72.9038, 9851.066937188658], [50.0972, 9944.462451813883], [21.2529, 10339.99985428246]]
7050 [[442.819, 9281.510036665464], [366.998, 9296.514613292491], [325.435, 9309.296799387], [298.322, 9320.838504741616], [276.741, 9332.77471252763], [259.969, 9344.730381763884], [246.086, 9356.868995173643], [234.161, 9369.744693347177], [223.746, 9383.530283109883], [214.509, 9398.395309451129], [206.065, 9414.54444828457], [198.265, 9432.495440758212], [191.069, 9452.537094016068], [183.952, 9475.298725221708], [176.882, 9501.020711816645], [170.285, 9532.572941641756], [163.971, 9570.159483453532], [155.677, 9611.6981794687], [138.211, 9637.425533924112], [122.5, 9672.188542784117], [107.447, 9725.29011413351], [93.3427, 9801.411769738359], [70.2537, 9845.965531280337], [47.6747, 9930.18514697717], [21.8771, 10290.375737734494]]
9400 [[442.693, 9281.523891742188], [367.371, 9296.440230567243], [326.285, 9309.15056000556], [298.157, 9320.922736407127], [277.195, 9332.490879560419], [260.647, 9344.1232964938], [246.803, 9356.314324856028], [235.013, 9368.854434105255], [225.549, 9383.027172936014], [215.188, 9397.190230991398], [206.891, 9413.26295249088], [199.165, 9431.110994649734], [191.295, 9450.482498168927], [184.178, 9472.764460734863], [177.54, 9498.713554601825], [171.706, 9530.454557337158], [164.838, 9566.524310362964], [156.299, 9612.315845810694], [140.912, 9638.137998478393], [124.058, 9668.234981867403], [109.954, 9718.948587237826], [97.3194, 9789.326404071056], [75.4512, 9867.050494815538], [51.2051, 9935.805962427568], [22.6611, 10261.044653358724]]
6525 [[442.671, 9281.534789201934], [372.077, 9296.467563753255], [326.878, 9308.834676461645], [299.144, 9320.421685059804], [277.972, 9332.037095560872], [261.459, 9343.48686608355], [247.627, 9355.406535610708], [235.791, 9368.137434577928], [225.292, 9381.274614491045], [216.005, 9395.853036102939], [207.592, 9411.588390846124], [199.955, 9429.139755106115], [192.508, 9448.617417404617], [185.03, 9469.757610058507], [178.482, 9495.4104138601], [171.729, 9524.864473690648], [165.393, 9561.03895361047], [159.432, 9606.039783710652], [141.953, 9632.211405543994], [124.645, 9669.899707152941], [110.818, 9711.351327938288], [97.3446, 9784.79164875201], [86.0514, 9917.58615974702], [51.5331, 10005.48133795816], [25.3955, 10229.245905969028]]
4875 [[442.831, 9281.505550282543], [370.729, 9295.802989341404], [325.787, 9309.234316559076], [298.074, 9321.093521659528], [277.265, 9332.858598823585], [260.475, 9344.587218570194], [246.448, 9356.467943475142], [234.525, 9369.431014679754], [223.946, 9383.23692172386], [214.735, 9398.031355533036], [206.161, 9414.391285115797], [198.411, 9432.089184809138], [190.824, 9451.82165674366], [183.665, 9474.436247763202], [176.957, 9500.542866689339], [171.273, 9532.607200199109], [164.282, 9568.57066732559], [156.415, 9613.00324712382], [139.653, 9638.193861073567], [124.702, 9672.256577441496], [110.059, 9728.778748657996], [93.7875, 9801.3396149505], [70.5727, 9862.333212344915], [48.5972, 9955.72415378456], [20.5201, 10365.606528126937]]
5225 [[442.348, 9281.62513473406], [367.347, 9296.474424899145], [325.715, 9309.257873935501], [297.41, 9321.289369835484], [276.685, 9333.01063327397], [260.405, 9344.459362564196], [246.299, 9356.770005704739], [234.288, 9369.999539860042], [224.132, 9383.80460097016], [214.456, 9398.503026709092], [206.205, 9414.806791925597], [198.08, 9432.596753612725], [190.612, 9452.511169234953], [183.58, 9475.14622557516], [177.562, 9502.16672749224], [170.457, 9532.653151598612], [164.078, 9570.01622071426], [158.559, 9618.557345620166], [137.933, 9638.101364639193], [122.152, 9673.815872168045], [110.714, 9714.535367501423], [93.6776, 9801.818086708017], [71.6304, 9854.405707203978], [46.8335, 9935.912160265754], [19.6365, 10606.181081101638]]
5875 [[442.256, 9281.597742046413], [368.562, 9296.453762783989], [327.562, 9309.01969936442], [300.58, 9321.146927753542], [279.397, 9331.77872249475], [261.327, 9344.159606463387], [247.5, 9356.33303675428], [235.065, 9368.829256400835], [224.873, 9382.115147260241], [215.584, 9396.871957694528], [207.47, 9412.55568060488], [199.288, 9430.222952525784], [191.603, 9449.598279282513], [184.482, 9471.818141356636], [177.786, 9497.097632283425], [171.856, 9524.35217050815], [164.94, 9564.687773174848], [159.139, 9610.287953609786], [142.443, 9638.739284007319], [125.787, 9667.074852933736], [112.429, 9716.279913090846], [97.4413, 9791.67313559213], [69.5957, 9852.41338165603], [51.3216, 9929.927842306817], [23.6681, 10279.823939507261]]
4675 [[441.343, 9281.77012180204], [366.758, 9296.698396428408], [325.39, 9309.377576734947], [297.768, 9321.32480494015], [276.949, 9332.653407690692], [260.917, 9344.93756629417], [246.14, 9356.93543418485], [234.181, 9369.881450985491], [224.529, 9384.033994284402], [214.878, 9398.741723953093], [206.046, 9414.903788796786], [198.076, 9432.511662398121], [190.858, 9452.978412943377], [183.814, 9475.712669900782], [176.673, 9501.564163213028], [170.601, 9533.119027148901], [164.032, 9570.419519995785], [156.971, 9616.407932633083], [138.489, 9639.841574289352], [122.606, 9675.155362264075], [108.626, 9727.962286100152], [95.9653, 9799.284884937004], [70.3598, 9855.366929399006], [48.4771, 9950.231506519407], [19.4168, 11059.656675738013]]
7975 [[442.787, 9281.531104578244], [367.513, 9296.593019102038], [326.021, 9309.188125881505], [298.243, 9321.017017483968], [277.361, 9332.798063419172], [260.605, 9344.518068757823], [246.651, 9356.738840095479], [234.618, 9369.518968644978], [224.072, 9383.069977143054], [214.914, 9397.889471396016], [206.494, 9414.036140010723], [198.467, 9431.55526524343], [191.031, 9451.251102788241], [184.048, 9473.537794378573], [176.993, 9499.979258649702], [171.013, 9531.633855070875], [165.218, 9564.620538694442], [156.838, 9610.999292301718], [139.241, 9636.392518481955], [123.485, 9670.40817062812], [108.753, 9720.56857657746], [96.9851, 9789.375831413505], [72.8456, 9887.474879174122], [50.0339, 9949.58727844927], [20.9623, 10541.752112428418]]
